time,ust,three_pool,ust_p,three_pool_p,ideal,total
2022-01-12T00:00:00+00:00,196923127.555355,190306780.54585385,0.5085431766388404,0.4914568233611596,0.5,387229908.10120887
2022-01-13T00:00:00+00:00,196644285.417819,205885816.44631958,0.48852069573716034,0.5114793042628396,0.5,402530101.86413854
2022-01-14T00:00:00+00:00,196573639.168629,218006424.4995237,0.4741512108164825,0.5258487891835175,0.5,414580063.6681527
2022-01-15T00:00:00+00:00,205399775.648628,234530129.70247334,0.4668920506431623,0.5331079493568377,0.5,439929905.35110134
2022-01-16T00:00:00+00:00,208608054.059386,242270767.48137295,0.46266988843371093,0.5373301115662891,0.5,450878821.54075897
2022-01-17T00:00:00+00:00,233521535.655008,257532204.3841174,0.47555189302987866,0.5244481069701213,0.5,491053740.0391254
2022-01-18T00:00:00+00:00,250896511.46038,299089395.8820644,0.4561871642724861,0.5438128357275139,0.5,549985907.3424444
2022-01-19T00:00:00+00:00,268580817.950629,316908122.341015,0.4587291056545721,0.541270894345428,0.5,585488940.291644
2022-01-20T00:00:00+00:00,285420689.144142,322700418.08058476,0.4693484336478833,0.5306515663521166,0.5,608121107.2247268
2022-01-21T00:00:00+00:00,268686893.853602,298237306.7996472,0.47393795068900285,0.5260620493109971,0.5,566924200.6532493
2022-01-22T00:00:00+00:00,298267058.464686,284891449.28745407,0.5114682449106247,0.4885317550893753,0.5,583158507.75214
2022-01-23T00:00:00+00:00,285758536.839851,328664214.71423346,0.4650845628959382,0.5349154371040619,0.5,614422751.5540844
2022-01-24T00:00:00+00:00,295456848.180843,278920340.23693216,0.5143951642556206,0.4856048357443794,0.5,574377188.4177752
2022-01-25T00:00:00+00:00,284963197.084949,305631518.54228264,0.4825021110835853,0.5174978889164147,0.5,590594715.6272316
2022-01-26T00:00:00+00:00,303776767.310061,317009333.0034179,0.48934208925854267,0.5106579107414574,0.5,620786100.313479
2022-01-27T00:00:00+00:00,369647016.699389,212353360.27766073,0.6351319197065837,0.3648680802934163,0.5,582000376.9770497
2022-01-28T00:00:00+00:00,306300567.540176,193755599.7834212,0.612532326477562,0.387467673522438,0.5,500056167.3235972
2022-01-29T00:00:00+00:00,285686673.26536,243200578.92490005,0.5401655496181028,0.45983445038189713,0.5,528887252.19026005
2022-01-30T00:00:00+00:00,294841630.827917,290540658.0445121,0.5036736444415576,0.4963263555584424,0.5,585382288.872429
2022-01-31T00:00:00+00:00,304837626.517065,319844416.6418194,0.4879884572566963,0.5120115427433036,0.5,624682043.1588844
2022-02-01T00:00:00+00:00,323415443.555346,372351815.5377542,0.4648328005214025,0.5351671994785975,0.5,695767259.0931002
2022-02-02T00:00:00+00:00,344527303.197029,309686037.4011557,0.52662836695138,0.47337163304861996,0.5,654213340.5981847
2022-02-03T00:00:00+00:00,367591490.731528,420558319.7291463,0.46639799420451605,0.533602005795484,0.5,788149810.4606743
2022-02-04T00:00:00+00:00,397369098.282638,413155333.5817549,0.4902617153299099,0.5097382846700901,0.5,810524431.864393
2022-02-05T00:00:00+00:00,419259688.165861,427959183.5460284,0.49486585127489596,0.5051341487251041,0.5,847218871.7118894
2022-02-06T00:00:00+00:00,428441854.673995,431332914.71901304,0.4983187108136128,0.5016812891863872,0.5,859774769.3930081
2022-02-07T00:00:00+00:00,444195846.844154,428808990.62455076,0.5088125835958812,0.49118741640411884,0.5,873004837.4687048
2022-02-08T00:00:00+00:00,452017741.260926,468799479.9405651,0.4908875842603475,0.5091124157396525,0.5,920817221.2014911
2022-02-09T00:00:00+00:00,463393321.23872,479928881.78886133,0.49123546520103595,0.508764534798964,0.5,943322203.0275813
2022-02-10T00:00:00+00:00,477294809.428995,506242195.05814236,0.48528403837523026,0.5147159616247697,0.5,983537004.4871373
2022-02-11T00:00:00+00:00,496462612.489401,540588963.5701393,0.4787250932839791,0.5212749067160208,0.5,1037051576.0595403
2022-02-12T00:00:00+00:00,500140265.756216,554228293.8852315,0.47435051167145537,0.5256494883285446,0.5,1054368559.6414474
2022-02-13T00:00:00+00:00,527225218.345227,531381168.4629775,0.49803706544304865,0.5019629345569514,0.5,1058606386.8082045
2022-02-14T00:00:00+00:00,538235136.864906,544157560.1510103,0.49726419842704406,0.5027358015729559,0.5,1082392697.0159163
