time,ust,mim,ideal
2022-01-08T00:00:00+00:00,500537085.3198953,502061496.98200804,0.5
2022-01-09T00:00:00+00:00,499502732.2749853,530476716.2774392,0.5
2022-01-10T00:00:00+00:00,518037848.43638057,512444508.79381996,0.5
2022-01-11T00:00:00+00:00,518829923.3503159,521942467.19557875,0.5
2022-01-12T00:00:00+00:00,508582024.30898035,523890389.7959739,0.5
2022-01-13T00:00:00+00:00,517715944.254526,516577257.8393769,0.5
2022-01-14T00:00:00+00:00,513950569.98254275,515781679.5575803,0.5
2022-01-15T00:00:00+00:00,487662897.0558326,533241061.24218845,0.5
2022-01-16T00:00:00+00:00,483114860.28869927,529657644.74856895,0.5
2022-01-17T00:00:00+00:00,485203589.26906604,495120979.911372,0.5
2022-01-18T00:00:00+00:00,490040123.32918525,481663994.5300037,0.5
2022-01-19T00:00:00+00:00,475106558.5971634,511084117.04647285,0.5
2022-01-20T00:00:00+00:00,401105519.72729945,416039413.0642135,0.5
2022-01-21T00:00:00+00:00,316097955.3205546,301069683.523182,0.5
2022-01-22T00:00:00+00:00,283785269.6738926,280772284.26365465,0.5
2022-01-23T00:00:00+00:00,270500930.6121173,271484405.65501326,0.5
2022-01-24T00:00:00+00:00,300990753.02904975,229229726.23258376,0.5
2022-01-25T00:00:00+00:00,256695119.5022714,244844504.0027762,0.5
2022-01-26T00:00:00+00:00,226029933.95132023,241439518.98834494,0.5
2022-01-27T00:00:00+00:00,121833014.9399479,108703858.14628732,0.5
2022-01-28T00:00:00+00:00,11096882.183026927,72369596.99134153,0.5
2022-01-29T00:00:00+00:00,27745152.803636637,208852089.52588126,0.5
2022-01-30T00:00:00+00:00,34462591.612999395,197747308.5313051,0.5
2022-01-31T00:00:00+00:00,24241869.97602129,145307168.2584275,0.5
2022-02-01T00:00:00+00:00,25458815.963401012,140948555.55066463,0.5
2022-02-02T00:00:00+00:00,26461110.47007383,141642603.54807192,0.5
2022-02-03T00:00:00+00:00,26669711.86453673,109330571.28586939,0.5
2022-02-04T00:00:00+00:00,36603020.589352846,103373657.74680784,0.5
2022-02-05T00:00:00+00:00,45375882.724465124,99942178.25577223,0.5
2022-02-06T00:00:00+00:00,31534844.798220776,117118013.70919159,0.5
2022-02-07T00:00:00+00:00,52033218.14053065,112775928.76109098,0.5
2022-02-08T00:00:00+00:00,38557418.56995965,87522893.3037858,0.5
2022-02-09T00:00:00+00:00,38632544.74127014,90140254.5427506,0.5
2022-02-10T00:00:00+00:00,33496340.06644342,92641956.18666655,0.5
2022-02-11T00:00:00+00:00,28005583.496902455,98578160.70762546,0.5
2022-02-12T00:00:00+00:00,27448282.32441247,101065943.2086366,0.5
2022-02-13T00:00:00+00:00,24444966.956941348,104079172.05669706,0.5
2022-02-14T00:00:00+00:00,25513506.35068413,102805902.39131735,0.5
2022-02-15T00:00:00+00:00,25055552.077407643,103253724.35949802,0.5
2022-02-16T00:00:00+00:00,24611830.767651703,106239802.71476465,0.5
2022-02-17T00:00:00+00:00,22487309.51590973,108400238.24625811,0.5
2022-02-18T00:00:00+00:00,20650660.665975433,107234546.9605084,0.5
2022-02-19T00:00:00+00:00,17551133.30968247,110239549.00591779,0.5
2022-02-20T00:00:00+00:00,18267605.803195707,104379906.31958252,0.5
2022-02-21T00:00:00+00:00,16865374.254809715,105034526.78469785,0.5
2022-02-22T00:00:00+00:00,14485137.517964162,117632096.12443648,0.5
2022-02-23T00:00:00+00:00,14698994.662564654,117170497.80858168,0.5
2022-02-24T00:00:00+00:00,13192552.363205006,95516067.66996275,0.5
2022-02-25T00:00:00+00:00,15491478.827331536,88696359.20953485,0.5
2022-02-26T00:00:00+00:00,15851528.60570945,87830685.18196897,0.5
2022-02-27T00:00:00+00:00,16422867.003952632,87255016.47904661,0.5
2022-02-28T00:00:00+00:00,18457860.603020877,85309668.0773535,0.5
2022-03-01T00:00:00+00:00,14812760.87444596,84364262.56073223,0.5
2022-03-02T00:00:00+00:00,15770065.160120042,81601354.32603233,0.5
2022-03-03T00:00:00+00:00,14992157.37285376,82384871.9777052,0.5
2022-03-04T00:00:00+00:00,15315568.902587874,84086757.40959902,0.5
2022-03-05T00:00:00+00:00,15091865.457151674,84547520.35606696,0.5
2022-03-06T00:00:00+00:00,15482287.04273566,83567852.16839002,0.5
2022-03-07T00:00:00+00:00,12517939.123511745,73557349.85777262,0.5
2022-03-08T00:00:00+00:00,12192860.342425428,73572017.64172009,0.5
2022-03-09T00:00:00+00:00,12427912.932483986,75216294.67426488,0.5
2022-03-10T00:00:00+00:00,10739749.895266311,76465505.90830176,0.5
2022-03-11T00:00:00+00:00,11177538.060435368,75515813.14334634,0.5
2022-03-12T00:00:00+00:00,11538415.334820487,74900480.76784863,0.5
2022-03-13T00:00:00+00:00,11901135.499054529,74368047.83245607,0.5
2022-03-14T00:00:00+00:00,11831509.389575327,73138751.53363179,0.5
2022-03-15T00:00:00+00:00,12395845.254196761,72410837.53306013,0.5
2022-03-16T00:00:00+00:00,11989285.918971704,72112478.68667352,0.5
2022-03-17T00:00:00+00:00,12377723.195292095,71726730.05691594,0.5
2022-03-18T00:00:00+00:00,12970810.99250766,70601409.10507335,0.5
2022-03-19T00:00:00+00:00,12410893.608793493,70849731.0046322,0.5
2022-03-20T00:00:00+00:00,11347915.346757658,71821129.32095557,0.5
2022-03-21T00:00:00+00:00,11517344.068996413,70600448.02515939,0.5
2022-03-22T00:00:00+00:00,11308406.95223392,68351863.39990391,0.5
2022-03-23T00:00:00+00:00,10150831.952128809,68515197.69590439,0.5
2022-03-24T00:00:00+00:00,7943192.556605771,71660811.89393139,0.5
2022-03-25T00:00:00+00:00,8689254.912545968,70644589.63824196,0.5
2022-03-26T00:00:00+00:00,8846042.933611883,73814154.75718574,0.5
2022-03-27T00:00:00+00:00,8945455.996596979,73714751.21003349,0.5
2022-03-28T00:00:00+00:00,10355002.533817146,72032056.75301482,0.5
2022-03-29T00:00:00+00:00,9686523.514037931,72627224.71831423,0.5
2022-03-30T00:00:00+00:00,9127493.754754756,62958005.65080776,0.5
2022-03-31T00:00:00+00:00,26640829.453605767,49163437.79211189,0.5
2022-04-01T00:00:00+00:00,30179807.62119802,52275865.45830118,0.5
2022-04-02T00:00:00+00:00,25513320.234299846,57334511.55140531,0.5
2022-04-03T00:00:00+00:00,31894572.000572074,77298064.216095,0.5
