,time,UST,USDC,USDT,FRAX,UST%,USDC%,USDT%,FRAX%,Ideal Balance,total
184,2022-05-11T10:00:00+00:00,2041076.225993,84414.686707,84152.336892,78626.48895410431,0.8919736129053721,0.03689018181948885,0.036775531955191516,0.03436067331994747,0.25,2288269.738546104
185,2022-05-11T09:00:00+00:00,5846668.305959,225518.43794,227415.417609,226820.02584556525,0.8958458613493097,0.03455468118151987,0.03484534268249905,0.03475411478667146,0.25,6526422.187353565
186,2022-05-11T08:00:00+00:00,5795573.93129,234928.157128,237857.406276,231053.1304065994,0.891707338122773,0.03614605975634048,0.036596754198587045,0.035549847922299455,0.25,6499412.6251006
187,2022-05-11T07:00:00+00:00,6040920.394103,211445.867859,194962.122803,193577.5462461802,0.9096530589137823,0.03183991311661361,0.02935776004484286,0.02914926792476114,0.25,6640905.93101118
188,2022-05-11T06:00:00+00:00,5760995.960806,240913.260082,244017.441415,234514.24514538262,0.888982099070531,0.037175442770429876,0.037654450507300395,0.03618800765173871,0.25,6480440.907448383
189,2022-05-11T05:00:00+00:00,5489132.193835,293349.825129,294350.780782,297605.88906833366,0.8611161643874868,0.04601971082469757,0.04617673730214357,0.046687387485671986,0.25,6374438.688814334
190,2022-05-11T04:00:00+00:00,5391622.359784,322650.816647,318706.235273,314930.6879699272,0.8493539251699471,0.05082788060649655,0.05020648217582208,0.0496117120477343,0.25,6347910.099673927
191,2022-05-11T03:00:00+00:00,5258600.361722,357015.773953,350325.186968,354570.6707575512,0.8319896184379798,0.0564852616885739,0.055426710262362566,0.056098409611083686,0.25,6320511.993400551
192,2022-05-11T02:00:00+00:00,5214285.124533,371365.94297,367607.287287,359606.3329000589,0.825977647628142,0.05882684982843923,0.05823145362260429,0.056964048920814504,0.25,6312864.687690059
193,2022-05-11T01:00:00+00:00,5336833.845844,331321.188439,337216.517893,329708.95463577175,0.84242557613997,0.05229944403749062,0.05323002881027466,0.05204495101226471,0.25,6335080.506811772
194,2022-05-11T00:00:00+00:00,5305875.529223,342033.205313,336579.681932,338173.8281491901,0.8391837684735044,0.05409639042543995,0.05323385449199785,0.05348598660905776,0.25,6322662.24461719
195,2022-05-10T23:00:00+00:00,5332464.080395,334531.848797,332725.444358,328257.8023776297,0.8426804090443778,0.05286551037803635,0.052580047295940284,0.051874033281645526,0.25,6327979.17592763
