time,pusd,threecrv,pusd_p,threecrv_p,ideal,total
2022-05-28T00:00:00+00:00,3388576.6444551656,6632253.110436331,0.33815329941126787,0.6618467005887322,0.5,10020829.754891496
2022-05-29T00:00:00+00:00,3445168.2461796105,6574884.466096732,0.3438273575106714,0.6561726424893286,0.5,10020052.712276341
2022-05-30T00:00:00+00:00,3424164.468935977,6565835.483271601,0.34275920773946644,0.6572407922605336,0.5,9989999.952207578
2022-05-31T00:00:00+00:00,3606133.95435333,16282022.760311494,0.18132067270438867,0.8186793272956113,0.5,19888156.714664824
2022-06-01T00:00:00+00:00,3645601.135174488,16750727.255753048,0.17873810743290852,0.8212618925670915,0.5,20396328.39092754
2022-06-02T00:00:00+00:00,4987908.218570577,9681276.553725347,0.34002627248861783,0.6599737275113822,0.5,14669184.772295924
2022-06-03T00:00:00+00:00,4867678.71556733,9952292.35357676,0.32845399581798623,0.6715460041820138,0.5,14819971.069144093
2022-06-04T00:00:00+00:00,4910814.160230698,10191395.318604514,0.3251719006489012,0.6748280993510988,0.5,15102209.478835212
2022-06-05T00:00:00+00:00,5055834.084720436,9991866.25523772,0.33598715886805697,0.664012841131943,0.5,15047700.339958156
2022-06-06T00:00:00+00:00,5072623.898196183,10498387.290734304,0.3257735696575915,0.6742264303424085,0.5,15571011.188930487
2022-06-07T00:00:00+00:00,5605756.141881438,10382055.431757888,0.350626858220183,0.649373141779817,0.5,15987811.573639326
2022-06-08T00:00:00+00:00,6035747.1590608135,10506002.506671293,0.36487960953516724,0.6351203904648328,0.5,16541749.665732106
2022-06-09T00:00:00+00:00,6462993.173965672,10606840.195716675,0.37862075358301767,0.6213792464169823,0.5,17069833.369682346
2022-06-10T00:00:00+00:00,6390174.91962175,10875035.214009928,0.3701185719815852,0.6298814280184148,0.5,17265210.133631676
2022-06-11T00:00:00+00:00,6429753.799627201,10351184.08482035,0.3831581907937487,0.6168418092062513,0.5,16780937.884447552
2022-06-12T00:00:00+00:00,6346954.195507308,10674896.967090337,0.3728709724271095,0.6271290275728905,0.5,17021851.162597645
2022-06-13T00:00:00+00:00,6168894.251185122,7908267.574874702,0.4382200281142741,0.5617799718857259,0.5,14077161.826059824
2022-06-14T00:00:00+00:00,6050605.527941713,7972731.001096456,0.4314668991514754,0.5685331008485246,0.5,14023336.529038168
2022-06-15T00:00:00+00:00,6043647.839530104,8440736.18823772,0.4172526652112997,0.5827473347887003,0.5,14484384.027767822
2022-06-16T00:00:00+00:00,6036429.653611177,8447870.874662671,0.41675672510576955,0.5832432748942304,0.5,14484300.528273847
2022-06-17T00:00:00+00:00,6036429.653611177,8528946.764799684,0.41443691396681215,0.5855630860331879,0.5,14565376.41841086
2022-06-18T00:00:00+00:00,6048260.998426736,7890868.152627422,0.4339052269968624,0.5660947730031376,0.5,13939129.151054157
2022-06-19T00:00:00+00:00,6064117.0978008015,7151300.024150244,0.45886687055289344,0.5411331294471066,0.5,13215417.121951045
2022-06-20T00:00:00+00:00,6093380.047800802,7634008.626293481,0.4438848634991998,0.5561151365008002,0.5,13727388.674094282
2022-06-21T00:00:00+00:00,6102949.372187735,7627384.16208014,0.4444866074779701,0.5555133925220299,0.5,13730333.534267874
2022-06-22T00:00:00+00:00,6103938.628840791,8499151.10875651,0.4179895308816402,0.5820104691183597,0.5,14603089.737597302
2022-06-23T00:00:00+00:00,6100612.472946634,9113497.812407305,0.40098384713429264,0.5990161528657073,0.5,15214110.28535394
2022-06-24T00:00:00+00:00,6100612.468311258,9519128.436866332,0.3905706570516188,0.6094293429483812,0.5,15619740.90517759
2022-06-25T00:00:00+00:00,6100612.468311258,9643387.184686251,0.3874880972288232,0.6125119027711767,0.5,15743999.652997509
2022-06-26T00:00:00+00:00,6111810.980002029,9831563.394968208,0.3833448827242657,0.6166551172757343,0.5,15943374.374970239
2022-06-27T00:00:00+00:00,6111810.980002029,9368106.745821303,0.394821929176433,0.605178070823567,0.5,15479917.725823332
2022-06-28T00:00:00+00:00,6194071.343120202,9424925.875915576,0.3965729205439084,0.6034270794560916,0.5,15618997.219035778
