time,USDN,3CRV,USDN%,3CRV%,Ideal Balance,total
2021-06-09T17:00:00+00:00,221356229.25229633,276954244.7394252,0.44421347895644225,0.5557865210435577,0.5,498310473.9917215
2021-06-09T18:00:00+00:00,221356229.2491361,277301871.98216456,0.44390380644084,0.55609619355916,0.5,498658101.23130065
2021-06-09T19:00:00+00:00,221357116.3391361,279644248.604638,0.44182936779818627,0.5581706322018137,0.5,501001364.94377404
2021-06-09T20:00:00+00:00,221349834.99064463,281676012.0948968,0.44003670243410625,0.5599632975658937,0.5,503025847.0855414
2021-06-09T21:00:00+00:00,221357116.3391361,281644851.3219385,0.44007206844226043,0.5599279315577396,0.5,503001967.66107464
2021-06-09T22:00:00+00:00,221357116.33932564,281941048.4880304,0.4398130806124769,0.5601869193875231,0.5,503298164.827356
2021-06-09T23:00:00+00:00,221357116.33932564,281897844.7164761,0.4398508379826606,0.5601491620173393,0.5,503254961.05580175
2021-06-10T00:00:00+00:00,221337225.79432932,283423518.50437933,0.43849928564045737,0.5615007143595426,0.5,504760744.2987087
2021-06-10T01:00:00+00:00,221351225.79432932,283628637.8360827,0.4383367372373749,0.5616632627626251,0.5,504979863.63041204
2021-06-10T02:00:00+00:00,221836275.6581365,283655016.1774664,0.4388528135718758,0.5611471864281242,0.5,505491291.8356029
2021-06-10T03:00:00+00:00,221842166.19813648,292702788.52751946,0.43114243791665946,0.5688575620833405,0.5,514544954.725656
2021-06-10T04:00:00+00:00,221816503.42184743,297605998.65083253,0.4270444629116392,0.5729555370883608,0.5,519422502.07268
2021-06-10T05:00:00+00:00,221856995.26867244,297568967.61756736,0.42711957260646527,0.5728804273935347,0.5,519425962.8862398
2021-06-10T06:00:00+00:00,221882657.26867244,298724237.5603331,0.4261999974886047,0.5738000025113953,0.5,520606894.82900554
2021-06-10T07:00:00+00:00,222064448.79884943,292422812.6935603,0.431622831933081,0.5683771680669191,0.5,514487261.4924097
2021-06-10T08:00:00+00:00,222064448.79884943,292357139.1387328,0.43167793499714835,0.5683220650028517,0.5,514421587.93758225
2021-06-10T09:00:00+00:00,222070184.94998708,292541786.889889,0.4315293796139769,0.568470620386023,0.5,514611971.8398761
2021-06-10T10:00:00+00:00,222070184.94998708,292504961.65517706,0.43156026173254447,0.5684397382674555,0.5,514575146.6051642
2021-06-10T11:00:00+00:00,222070184.94998708,291748610.61366224,0.4321955266474446,0.5678044733525554,0.5,513818795.56364936
2021-06-10T12:00:00+00:00,222070184.94998708,291355590.3867884,0.432526366258731,0.567473633741269,0.5,513425775.3367755
2021-06-10T13:00:00+00:00,222070184.94998708,285466208.80957085,0.4375453419310683,0.5624546580689317,0.5,507536393.75955796
2021-06-10T14:00:00+00:00,222070184.94998708,288464652.57546425,0.43497557586149327,0.5650244241385067,0.5,510534837.52545136
